Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,470n,C_0805_2012Metric,56.5,-27.2,180,top
C1,470n,C_0805_2012Metric,29.600002,-41.400001,0,top
F1,500mA,Fuse_1206_3216Metric,38.5,-27.25,0,top
F1,500mA,Fuse_1206_3216Metric,47.600001,-41.349999,180,top
J1,JST_SH_SM04B-SRSS-TB_1x04,JST-SR-4,31.4,-32.75,0,top
J1,JST_SH_SM04B-SRSS-TB_1x04,JST-SR-4,54.7,-35.849999,180,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,38.500002,-40.51,0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,47.6,-28.09,180,top
R1,5.1K,R_0603_1608Metric,32.1,-37.400001,-90,top
R1,5.1K,R_0603_1608Metric,54,-31.2,90,top
R2,5.1K,R_0603_1608Metric,41.2,-31.2,90,top
R2,5.1K,R_0603_1608Metric,44.9,-37.400001,-90,top
R3,1M,R_1206_3216Metric,29.500001,-37.95,90,top
R3,1M,R_1206_3216Metric,56.6,-30.65,-90,top
U1,SRV05-4,SOT-23-6,38.5,-30.4,-90,top
U1,SRV05-4,SOT-23-6,47.600002,-38.2,90,top
