Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,470n,C_0805_2012Metric,35.2,-14.2,180,top
C1,470n,C_0805_2012Metric,8.300002,-28.400001,0,top
F1,500mA,Fuse_1206_3216Metric,17.2,-14.25,0,top
F1,500mA,Fuse_1206_3216Metric,26.300001,-28.349999,180,top
J1,JST_SH_SM04B-SRSS-TB_1x04,JST-SR-4,10.1,-19.75,0,top
J1,JST_SH_SM04B-SRSS-TB_1x04,JST-SR-4,33.4,-22.849999,180,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,17.200002,-27.51,0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,26.3,-15.09,180,top
R1,5.1K,R_0603_1608Metric,10.8,-24.400001,-90,top
R1,5.1K,R_0603_1608Metric,32.7,-18.2,90,top
R2,5.1K,R_0603_1608Metric,19.9,-18.2,90,top
R2,5.1K,R_0603_1608Metric,23.6,-24.400001,-90,top
R3,1M,R_1206_3216Metric,8.200001,-24.95,90,top
R3,1M,R_1206_3216Metric,35.3,-17.65,-90,top
U1,SRV05-4,SOT-23-6,17.2,-17.4,-90,top
U1,SRV05-4,SOT-23-6,26.300002,-25.2,90,top
