Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470n","C_0805_2012Metric",63.399995,-50.224999,-90.000000,top
"F1","500mA","Fuse_1206_3216Metric",45.449995,-47.699999,0.000000,top
"J1","JST_SH_SM04B-SRSS-TB_1x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",33.806245,-49.949999,-90.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",54.549995,-48.489999,180.000000,top
"R1","5.1K","R_0603_1608Metric",61.474995,-47.499999,180.000000,top
"R2","5.1K","R_0603_1608Metric",48.149995,-51.649999,90.000000,top
"R3","1M","R_1206_3216Metric",61.149995,-50.749999,-90.000000,top
"REF**","NPTH","NPTH",62.998605,-46.650999,0.000000,top
"REF**","NPTH","NPTH",35.001387,-53.249000,0.000000,top
"REF**","NPTH","NPTH",65.998605,-53.248999,0.000000,top
"REF**","NPTH","NPTH",34.001387,-53.249000,0.000000,top
"REF**","NPTH","NPTH",36.001387,-46.650999,0.000000,top
"REF**","NPTH","NPTH",64.998605,-46.650999,0.000000,top
"REF**","NPTH","NPTH",36.001387,-53.249000,0.000000,top
"REF**","NPTH","NPTH",65.998605,-46.650999,0.000000,top
"REF**","NPTH","NPTH",37.001387,-46.650999,0.000000,top
"REF**","NPTH","NPTH",63.998605,-46.650999,0.000000,top
"REF**","NPTH","NPTH",64.998605,-53.248999,0.000000,top
"REF**","NPTH","NPTH",63.998605,-53.248999,0.000000,top
"REF**","NPTH","NPTH",34.001387,-46.650999,0.000000,top
"REF**","NPTH","NPTH",62.998605,-53.248999,0.000000,top
"REF**","NPTH","NPTH",37.001387,-53.249000,0.000000,top
"REF**","NPTH","NPTH",35.001387,-46.650999,0.000000,top
"Ref**","Val**","tt_4mm",32.149995,-50.049999,0.000000,top
"U1","SRV05-4","SOT-23-6",45.449995,-50.849999,90.000000,top
